Ticker,Summary,Label,Confidence,URL
GME,"Net sales were $2.226 billion for the fourth quarter of fiscal year. Selling, general and administrative expenses were $453.4 million, or 20.4% of sales",NEGATIVE,0.9350910186767578,https://finance.yahoo.com/news/gamestop-reports-fourth-quarter-fiscal-200500425.html
GME,.,POSITIVE,0.9668781757354736,https://www.fastcompany.com/90869514/gamestop-gme-stock-price-going-up-profit-retail-why
GME,Markets now pricing in a roughly 88% probability of another hike. Yellen reassures markets that backstop measures are in place,POSITIVE,0.9811636805534363,https://finance.yahoo.com/news/eyes-fed-decision-key-stocks-152603931.html
GME,"Fed meeting, existing home sales, Nike earnings.",NEGATIVE,0.5370712280273438,https://finance.yahoo.com/news/existing-home-sales-nike-earnings-162923739.html
GME,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BGME%26tbm%3Dnws%26pccc%3D1
GME,"Company reports strong hardware sales, larger cash on hand.",POSITIVE,0.999259889125824,https://www.shacknews.com/article/134690/gamestop-gme-stock-rockets-38-higher-on-earnings-results
GME,Fed chair says no rate cuts seen this year. Banks tumble as tighter lending standards seen serving same role,NEGATIVE,0.9963580965995789,https://finance.yahoo.com/news/stock-market-today-dow-ends-161157972.html
GME,"The S&P 500, Dow Jones Industrial Average and tech-heavy Nasdaq all fell. Fed raised its benchmark rate 0.25% to a 4.75%-5% target range",NEGATIVE,0.9994004964828491,https://www.msn.com/en-us/money/markets/stock-market-news-today-stock-futures-waver-as-all-eyes-on-fed-meeting/ar-AA18Wusj%3Focid%3Dweather-verthp-feeds
GME,KBW Regional Banking Index surges the most since January 2021. First Republic’s share price has slumped over the past two weeks amid investor concern,NEGATIVE,0.9958016276359558,https://finance.yahoo.com/news/first-republic-rebounds-record-low-092753176.html
GME,Nike and GameStop post better-than-expected results.,POSITIVE,0.9948650002479553,https://finance.yahoo.com/news/stocks-moving-in-after-hours-gamestop-nike-214549776.html
GME,China’s accession to the WTO in 2001 contributed to a new era of globalization.,POSITIVE,0.9989142417907715,https://finance.yahoo.com/news/changing-face-international-student-mobility-130801717.html
TSLA,Freepower’s Wireless Charging Platform costs $300. Tesla’s offering is twice the cost of Apple’s multi-device charger,NEGATIVE,0.9883734583854675,https://ca.finance.yahoo.com/news/tesla-wireless-charging-platform-hands-on-well-made-and-exorbitant-123056735.html
TSLA,"Berenberg downgrades Tesla to Hold, citing valuation. EV maker cut prices again this week to stoke demand",NEGATIVE,0.9978517293930054,https://finance.yahoo.com/news/analyst-downgrades-tesla-stock-after-50-pop-130116787.html
TSLA,EV-maker is expected to reveal ‘generation 3’ platform. Elon Musk has said Tesla will need 12 gigafactories to reach 20 million vehicles a year,POSITIVE,0.926937460899353,https://finance.yahoo.com/news/tesla-investor-day-three-things-to-watch-170710130.html
TSLA,EV maker says efforts to keep costs low have boosted ability to repay. Tesla bonds now rated Baa3 after S&P in October 2022,NEGATIVE,0.9019278287887573,https://ca.finance.yahoo.com/news/tesla-debt-no-longer-junk-104743581.html
TSLA,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BTSLA%26tbm%3Dnws%26pccc%3D1
TSLA,"‘There are going to be some real winners,’ says Roth Capital’s Irwin. EV-maker’s multiple is under threat from lower-margin buyers",NEGATIVE,0.9922189712524414,https://finance.yahoo.com/news/tesla-still-the-category-king-in-evs-but-beware-shrinking-margins-analyst-200721964.html
TSLA,EV maker is inching higher following Moody's upgrade.,POSITIVE,0.953042209148407,https://finance.yahoo.com/news/bears-more-double-money-short-190651776.html
